superid,initial_coop,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
102,D,0.325980392156863,318.75,7,200
103,D,0.38974358974359,390,3,200
104,D,0,200,3,200
105,D,0,200,2,200
106,D,0.368217054263566,358.333333333333,5,200
108,C,0,200,3,200
109,C,0.368217054263566,358.333333333333,6,200
110,C,0.346504559270517,335.714285714286,6,200
111,C,0.368217054263566,358.333333333333,6,1150
112,C,0,200,7,200
200,C,0,200,3,200
201,C,0,200,5,200
202,C,0,200,4,200
203,C,0,200,3,200
204,P,0,200,2,200
205,D,0,200,2,200
206,C,0,200,5,200
208,D,0,200,1,200
209,C,0.407142857142857,437.5,5,200
210,C,0,200,2,200
211,P,0.351851851851852,675,2,1150
300,D,0.351851851851852,675,3,200
301,,0,200,NA,200
302,C,0,1150,1,1150
303,D,0,1150,1,1150
304,C,0.351851851851852,675,3,1150
305,,0,200,1,200
307,C,0,200,3,200
308,C,0.351851851851852,675,2,200
310,C,0.195205479452055,912.5,2,1150
311,C,0.351851851851852,675,2,1150
400,,0,200,1,200
401,C,0,200,3,200
402,C,0,200,2,200
403,D,0,200,3,200
404,C,0.38974358974359,390,5,200
405,P,0,200,3,200
406,D,0.351851851851852,675,3,1150
407,D,0,200,2,200
408,C,0,200,6,200
409,C,0.351851851851852,675,3,1150
410,NA,NA,NA,NA,200
411,D,0.393103448275862,580,4,200
412,C,0,1150,1,1150
502,NA,NA,NA,NA,200
503,C,0.393103448275862,580,4,200
504,C,0,200,4,200
505,NA,NA,NA,NA,200
506,D,0.408602150537634,516.666666666667,2,200
507,C,0.38974358974359,390,4,200
508,C,0,200,NA,200
509,C,0.368217054263566,358.333333333333,5,200
510,C,0.407142857142857,437.5,3,1150
513,C,0.407142857142857,437.5,4,1150
514,C,0,200,4,200
600,NA,NA,NA,NA,200
601,C,0,200,2,200
602,C,0.346504559270517,335.714285714286,5,200
603,C,0.38974358974359,390,3,1150
604,C,0.407142857142857,437.5,3,200
605,C,0.408602150537634,516.666666666667,2,1150
606,D,0,200,1,200
608,C,0,200,4,200
611,C,0.407142857142857,437.5,3,200
612,NA,NA,NA,NA,200
613,P,0.407142857142857,437.5,1,200
701,C,0,200,1,200
702,C,0.195205479452055,912.5,3,200
703,D,0.351851851851852,675,4,200
704,,0,200,NA,200
705,C,0.407142857142857,437.5,5,1150
706,D,0.253333333333333,833.333333333333,4,200
708,C,0,200,5,200
711,D,0,1150,2,1150
712,C,0.408602150537634,516.666666666667,4,1150
713,D,0.351851851851852,675,6,1150
800,D,0.296103896103896,770,4,1150
801,C,0.411255411255411,471.428571428571,5,200
802,D,0.351851851851852,675,2,1150
803,D,0.351851851851852,675,3,1150
804,P,0.351851851851852,675,3,200
805,C,0.296103896103896,770,4,1150
806,C,0.351851851851852,675,4,200
807,D,0.383193277310924,607.142857142857,6,200
808,C,0.351851851851852,675,3,200
809,P,0.253333333333333,833.333333333333,1,1150
810,D,0.296103896103896,770,4,200
812,P,0.351851851851852,675,5,1150
813,C,0.393103448275862,580,4,1150
814,C,0.408602150537634,516.666666666667,4,200
900,C,0.407142857142857,437.5,4,1150
901,D,0.407142857142857,437.5,2,200
902,C,0.351851851851852,675,5,1150
903,C,0.393103448275862,580,4,200
904,C,0.408602150537634,516.666666666667,7,200
905,D,0.351851851851852,675,3,1150
906,C,0.408602150537634,516.666666666667,6,200
907,C,0.133053221288515,991.666666666667,5,200
908,C,0.407142857142857,437.5,5,200
909,D,0.38974358974359,390,4,1150
910,D,0,200,3,200
911,D,0.253333333333333,833.333333333333,2,1150
912,D,0.38974358974359,390,6,200
1000,C,0,200,5,200
