superid,initial_coop,inital_defect,initial_punish,initial_local_gini,initial_local_avg_wealth,initial_degree,initial_score
102,0,1,0,0.325980392156863,318.75,7,200
103,0,1,0,0.38974358974359,390,3,200
104,0,1,0,0,200,3,200
105,0,1,0,0,200,2,200
106,0,1,0,0.368217054263566,358.333333333333,5,200
108,1,0,0,0,200,3,200
109,1,0,0,0.368217054263566,358.333333333333,6,200
110,1,0,0,0.346504559270517,335.714285714286,6,200
111,1,0,0,0.368217054263566,358.333333333333,6,1150
112,1,0,0,0,200,7,200
200,1,0,0,0,200,3,200
201,1,0,0,0,200,5,200
202,1,0,0,0,200,4,200
203,1,0,0,0,200,3,200
204,0,0,1,0,200,2,200
205,0,1,0,0,200,2,200
206,1,0,0,0,200,5,200
208,0,1,0,0,200,1,200
209,1,0,0,0.407142857142857,437.5,5,200
210,1,0,0,0,200,2,200
211,0,0,1,0.351851851851852,675,2,1150
300,0,1,0,0.351851851851852,675,3,200
301,0,0,0,0,200,NA,200
302,1,0,0,0,1150,1,1150
303,0,1,0,0,1150,1,1150
304,1,0,0,0.351851851851852,675,3,1150
305,0,0,0,0,200,1,200
307,1,0,0,0,200,3,200
308,1,0,0,0.351851851851852,675,2,200
310,1,0,0,0.195205479452055,912.5,2,1150
311,1,0,0,0.351851851851852,675,2,1150
400,0,0,0,0,200,1,200
401,1,0,0,0,200,3,200
402,1,0,0,0,200,2,200
403,0,1,0,0,200,3,200
404,1,0,0,0.38974358974359,390,5,200
405,0,0,1,0,200,3,200
406,0,1,0,0.351851851851852,675,3,1150
407,0,1,0,0,200,2,200
408,1,0,0,0,200,6,200
409,1,0,0,0.351851851851852,675,3,1150
410,NA,NA,NA,NA,NA,NA,200
411,0,1,0,0.393103448275862,580,4,200
412,1,0,0,0,1150,1,1150
502,NA,NA,NA,NA,NA,NA,200
503,1,0,0,0.393103448275862,580,4,200
504,1,0,0,0,200,4,200
505,NA,NA,NA,NA,NA,NA,200
506,0,1,0,0.408602150537634,516.666666666667,2,200
507,1,0,0,0.38974358974359,390,4,200
508,1,0,0,0,200,NA,200
509,1,0,0,0.368217054263566,358.333333333333,5,200
510,1,0,0,0.407142857142857,437.5,3,1150
513,1,0,0,0.407142857142857,437.5,4,1150
514,1,0,0,0,200,4,200
600,NA,NA,NA,NA,NA,NA,200
601,1,0,0,0,200,2,200
602,1,0,0,0.346504559270517,335.714285714286,5,200
603,1,0,0,0.38974358974359,390,3,1150
604,1,0,0,0.407142857142857,437.5,3,200
605,1,0,0,0.408602150537634,516.666666666667,2,1150
606,0,1,0,0,200,1,200
608,1,0,0,0,200,4,200
611,1,0,0,0.407142857142857,437.5,3,200
612,NA,NA,NA,NA,NA,NA,200
613,0,0,1,0.407142857142857,437.5,1,200
701,1,0,0,0,200,1,200
702,1,0,0,0.195205479452055,912.5,3,200
703,0,1,0,0.351851851851852,675,4,200
704,0,0,0,0,200,NA,200
705,1,0,0,0.407142857142857,437.5,5,1150
706,0,1,0,0.253333333333333,833.333333333333,4,200
708,1,0,0,0,200,5,200
711,0,1,0,0,1150,2,1150
712,1,0,0,0.408602150537634,516.666666666667,4,1150
713,0,1,0,0.351851851851852,675,6,1150
800,0,1,0,0.296103896103896,770,4,1150
801,1,0,0,0.411255411255411,471.428571428571,5,200
802,0,1,0,0.351851851851852,675,2,1150
803,0,1,0,0.351851851851852,675,3,1150
804,0,0,1,0.351851851851852,675,3,200
805,1,0,0,0.296103896103896,770,4,1150
806,1,0,0,0.351851851851852,675,4,200
807,0,1,0,0.383193277310924,607.142857142857,6,200
808,1,0,0,0.351851851851852,675,3,200
809,0,0,1,0.253333333333333,833.333333333333,1,1150
810,0,1,0,0.296103896103896,770,4,200
812,0,0,1,0.351851851851852,675,5,1150
813,1,0,0,0.393103448275862,580,4,1150
814,1,0,0,0.408602150537634,516.666666666667,4,200
900,1,0,0,0.407142857142857,437.5,4,1150
901,0,1,0,0.407142857142857,437.5,2,200
902,1,0,0,0.351851851851852,675,5,1150
903,1,0,0,0.393103448275862,580,4,200
904,1,0,0,0.408602150537634,516.666666666667,7,200
905,0,1,0,0.351851851851852,675,3,1150
906,1,0,0,0.408602150537634,516.666666666667,6,200
907,1,0,0,0.133053221288515,991.666666666667,5,200
908,1,0,0,0.407142857142857,437.5,5,200
909,0,1,0,0.38974358974359,390,4,1150
910,0,1,0,0,200,3,200
911,0,1,0,0.253333333333333,833.333333333333,2,1150
912,0,1,0,0.38974358974359,390,6,200
1000,1,0,0,0,200,5,200
1001,1,0,0,0.399399399399399,411.111111111111,8,200
1002,NA,NA,NA,NA,NA,NA,200
1003,1,0,0,0,200,NA,200
1004,NA,NA,NA,NA,NA,NA,200
1005,1,0,0,0.351851851851852,675,4,1150
1008,0,1,0,0,200,3,200
1009,1,0,0,0,200,2,200
1010,1,0,0,0.38974358974359,390,5,200
1011,1,0,0,0.407142857142857,437.5,5,200
1012,0,1,0,0,200,3,200
1013,0,1,0,0.407142857142857,437.5,3,1150
1014,0,1,0,0.346504559270517,335.714285714286,4,200
1017,1,0,0,0.368217054263566,358.333333333333,4,200
1018,1,0,0,0.408602150537634,516.666666666667,4,1150
1100,1,0,0,0,200,5,200
1103,1,0,0,0.38974358974359,390,4,200
1105,1,0,0,0.408602150537634,516.666666666667,3,200
1106,0,1,0,0.253333333333333,833.333333333333,2,1150
1107,1,0,0,0.408602150537634,516.666666666667,2,200
1108,1,0,0,0.38974358974359,390,4,200
1109,1,0,0,0.38974358974359,390,5,1150
1111,1,0,0,0,1150,1,1150
1112,0,1,0,0.408602150537634,516.666666666667,2,200
1201,1,0,0,0,200,5,200
1202,0,1,0,0.399399399399399,411.111111111111,7,200
1203,1,0,0,0.407142857142857,437.5,8,200
1204,0,1,0,0.408602150537634,516.666666666667,6,1150
1205,1,0,0,0,200,3,200
1206,0,1,0,0.408602150537634,516.666666666667,6,1150
1207,1,0,0,0.411255411255411,471.428571428571,5,200
1208,1,0,0,0.399399399399399,411.111111111111,7,1150
1209,0,1,0,0.346504559270517,335.714285714286,5,200
1210,1,0,0,0.383193277310924,607.142857142857,5,200
1211,0,1,0,0.38974358974359,390,5,1150
1212,1,0,0,0.38974358974359,390,12,200
1213,1,0,0,0.383193277310924,607.142857142857,7,200
1214,0,1,0,0,200,6,200
1216,0,1,0,0.307070707070707,305.555555555556,8,200
1217,0,1,0,0.351851851851852,675,3,1150
1218,1,0,0,0.368217054263566,358.333333333333,7,200
1219,0,1,0,0.289830508474576,295,5,200
1221,1,0,0,0.325980392156863,318.75,10,200
1222,NA,NA,NA,NA,NA,NA,200
1300,0,1,0,0.351851851851852,675,6,200
1301,1,0,0,0.393103448275862,580,6,200
1302,1,0,0,0.351851851851852,675,7,200
1303,1,0,0,0.393103448275862,580,6,200
1304,1,0,0,0.408602150537634,516.666666666667,11,1150
1305,0,0,1,0.296103896103896,770,5,1150
1306,1,0,0,0.38974358974359,390,8,200
1307,1,0,0,0.346504559270517,335.714285714286,8,1150
1308,0,1,0,0,200,8,200
1309,0,1,0,0.400280898876405,556.25,7,1150
1310,1,0,0,0.368217054263566,358.333333333333,11,200
1311,0,1,0,0.393103448275862,580,6,200
1312,0,1,0,0.403030303030303,545.454545454545,12,200
1313,0,1,0,0.407142857142857,437.5,9,200
1315,0,1,0,0.399399399399399,411.111111111111,8,200
1316,0,1,0,0.38974358974359,390,8,200
1317,1,0,0,0.376984126984127,622.222222222222,8,200
1318,1,0,0,0.408602150537634,516.666666666667,14,1150
