superid,round,game,behavior,behavior_coop,behavior_defect,behavior_punish,behaviorTime_prompt,behaviorTime_sec,degree,behavior_lag,behavior_coop_lag,local_rate_coop_lag,behavior_defect_lag,local_rate_defect_lag,behavior_punish_lag,local_rate_punish_lag,punish_type_NR,punish_type_IA,punish_type_CR,punish_type_U,last_punished
102,0,1,NA,0,0,0,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
102,1,1,D,0,1,0,4000,4,7,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
102,2,1,C,1,0,0,5000,0.5,7,D,0,0.7142857142857143,1,0.2857142857142857,0,0,0,0,0,0,0
102,3,1,C,1,0,0,2000,2,6,C,1,0.7142857142857143,0,0.2857142857142857,0,0,0,0,0,0,0
102,4,1,C,1,0,0,4000,4,6,C,1,0.8571428571428571,0,0.14285714285714288,0,0,0,0,0,0,0
102,5,1,C,1,0,0,3000,3,6,C,1,0.6666666666666666,0,0.33333333333333337,0,0,0,0,0,0,0
102,6,1,C,1,0,0,3000,3,6,C,1,1,0,0,0,0,0,0,0,0,0
102,7,1,C,1,0,0,3000,3,6,C,1,0.8333333333333334,0,0.16666666666666669,0,0,0,0,0,0,0
102,8,1,C,1,0,0,3000,3,6,C,1,1,0,0,0,0,0,0,0,0,0
102,9,1,C,1,0,0,3000,3,6,C,1,0.8333333333333334,0,0.16666666666666669,0,0,0,0,0,0,0
102,10,1,C,1,0,0,2000,2,6,C,1,1,0,0,0,0,0,0,0,0,0
102,11,1,C,1,0,0,3000,3,7,C,1,0.8333333333333334,0,0.16666666666666669,0,0,0,0,0,0,0
102,12,1,C,1,0,0,3000,3,8,C,1,1,0,0,0,0,0,0,0,0,0
102,13,1,C,1,0,0,3000,3,7,C,1,1,0,0,0,0,0,0,0,0,0
102,14,1,C,1,0,0,4000,4,6,C,1,0.75,0,0.25,0,0,0,0,0,0,0
102,15,1,C,1,0,0,2000,2,7,C,1,0.8571428571428571,0,0.14285714285714288,0,0,0,0,0,0,0
103,0,1,NA,0,0,0,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
103,1,1,D,0,1,0,13000,8.5,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
103,2,1,D,0,1,0,14000,9.5,3,D,0,0.75,1,0.25,0,0,0,0,0,0,0
103,3,1,D,0,1,0,2000,2,4,D,0,0.6666666666666666,1,0.33333333333333337,0,0,0,0,0,0,0
103,4,1,D,0,1,0,5000,0.5,4,D,0,0.6666666666666666,1,0.33333333333333337,0,0,0,0,0,0,0
103,5,1,D,0,1,0,4000,4,4,D,0,0.75,1,0.25,0,0,0,0,0,0,0
103,6,1,D,0,1,0,2000,2,5,D,0,0.75,1,0.25,0,0,0,0,0,0,0
103,7,1,D,0,1,0,3000,3,3,D,0,0.75,1,0.25,0,0,0,0,0,0,0
103,8,1,D,0,1,0,2000,2,1,D,0,0.8,1,0.2,0,0,0,0,0,0,0
103,9,1,D,0,1,0,4000,4,1,D,0,1,1,0,0,0,0,0,0,0,0
103,10,1,D,0,1,0,5000,0.5,1,D,0,1,1,0,0,0,0,0,0,0,0
103,11,1,D,0,1,0,15000,10.5,1,D,0,1,1,0,0,0,0,0,0,0,0
103,12,1,C,1,0,0,14000,9.5,4,D,0,1,1,0,0,0,0,0,0,0,0
103,13,1,D,0,1,0,8000,3.5,2,C,1,1,0,0,0,0,0,0,0,0,0
103,14,1,D,0,1,0,4000,4,2,D,0,0.75,1,0.25,0,0,0,0,0,0,0
103,15,1,C,1,0,0,13000,8.5,2,D,0,1,1,0,0,0,0,0,0,0,0
104,0,1,NA,0,0,0,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
104,1,1,D,0,1,0,3000,3,3,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA
104,2,1,D,0,1,0,9000,4.5,3,D,0,0.6666666666666666,1,0.33333333333333337,0,0,0,0,0,0,0
104,3,1,C,1,0,0,4000,4,3,D,0,1,1,0,0,0,0,0,0,0,0
104,4,1,D,0,1,0,5000,0.5,4,C,1,1,0,0,0,0,0,0,0,0,0
104,5,1,C,1,0,0,7000,2.5,5,D,0,1,1,0,0,0,0,0,0,0,0
104,6,1,D,0,1,0,4000,4,5,C,1,1,0,0,0,0,0,0,0,0,0
