superid,round,game,time_pressure,behavior,behavior_coop,behavior_defect,behavior_punish,behaviorTime_sec,degree,behavior_lag,behavior_coop_lag,local_rate_coop_lag,behavior_defect_lag,local_rate_defect_lag,behavior_punish_lag,local_rate_punish_lag,punish_type_NR,punish_type_IA,punish_type_CR,punish_type_U,rewired,initial_score_low
100,0,1,Minus,NA,0,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1
100,1,1,Minus,C,1,0,0,3.009,6,NA,0,NA,0,NA,0,NA,0,0,0,0,1,1
100,2,1,Minus,C,1,0,0,2.552,7,C,1,0.75,0,0.25,0,0,0,0,0,0,1,1
100,3,1,Minus,C,1,0,0,2.64,7,C,1,0.33333333333333337,0,0.5,0,0.16666666666666666,0,0,0,0,1,1
100,4,1,Minus,C,1,0,0,3.472,8,C,1,0.5714285714285714,0,0.2857142857142857,0,0.14285714285714288,0,0,0,0,1,1
100,5,1,Minus,C,1,0,0,1.678,5,C,1,0.7142857142857143,0,0.2857142857142857,0,0,0,0,0,0,1,1
100,6,1,Minus,C,1,0,0,2.809,5,C,1,0.5,0,0.5,0,0,0,0,0,0,0,1
100,7,1,Minus,C,1,0,0,3.849,6,C,1,0.4,0,0.4,0,0.2,0,0,0,0,1,1
100,8,1,Minus,C,1,0,0,2.073,6,C,1,0.4,0,0.4,0,0.2,0,0,0,0,1,1
100,9,1,Minus,C,1,0,0,4.633,5,C,1,0.5,0,0.33333333333333337,0,0.16666666666666669,0,0,0,0,1,1
100,10,1,Minus,C,1,0,0,2.697,6,C,1,0.6666666666666666,0,0.33333333333333337,0,0,0,0,0,0,1,1
100,11,1,Minus,C,1,0,0,1.797,8,C,1,0.6,0,0.4,0,0,0,0,0,0,1,1
100,12,1,Minus,C,1,0,0,2.487,8,C,1,0.6666666666666666,0,0.33333333333333337,0,0,0,0,0,0,1,1
100,13,1,Minus,C,1,0,0,2.075,8,C,1,0.625,0,0.375,0,0,0,0,0,0,1,1
100,14,1,Minus,C,1,0,0,1.953,8,C,1,0.625,0,0.375,0,0,0,0,0,0,1,1
100,15,1,Minus,C,1,0,0,6.417,7,C,1,0.375,0,0.625,0,0,0,0,0,0,1,1
101,0,1,Minus,NA,0,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1
101,1,1,Minus,C,1,0,0,2.767,3,NA,0,NA,0,NA,0,NA,0,0,0,0,1,1
101,2,1,Minus,D,0,1,0,6.769,7,C,1,0.25,0,0.5,0,0.25,0,0,0,0,1,1
101,3,1,Minus,C,1,0,0,2.858,6,D,0,0.33333333333333337,1,0.33333333333333337,0,0.33333333333333337,0,0,0,0,1,1
101,4,1,Minus,C,1,0,0,2.52,3,C,1,0.5714285714285714,0,0.42857142857142855,0,0,0,0,0,0,1,1
101,5,1,Minus,C,1,0,0,4.976,7,C,1,0.6666666666666666,0,0.33333333333333337,0,0,0,0,0,0,1,1
101,6,1,Minus,C,1,0,0,1.969,7,C,1,0.33333333333333337,0,0.6666666666666666,0,0,0,0,0,0,1,1
101,7,1,Minus,C,1,0,0,3.129,9,C,1,0.42857142857142855,0,0.5714285714285714,0,0,0,0,0,0,1,1
101,8,1,Minus,C,1,0,0,2.289,9,C,1,0.2857142857142857,0,0.7142857142857143,0,0,0,0,0,0,1,1
101,9,1,Minus,C,1,0,0,4.22,8,C,1,0.4444444444444444,0,0.5555555555555556,0,0,0,0,0,0,1,1
101,10,1,Minus,C,1,0,0,2.9,8,C,1,0.5555555555555556,0,0.4444444444444444,0,0,0,0,0,0,1,1
101,11,1,Minus,C,1,0,0,2.992,8,C,1,0.625,0,0.375,0,0,0,0,0,0,0,1
101,12,1,Minus,C,1,0,0,2.977,10,C,1,0.625,0,0.375,0,0,0,0,0,0,1,1
101,13,1,Minus,C,1,0,0,6.48,8,C,1,0.625,0,0.375,0,0,0,0,0,0,0,1
101,14,1,Minus,D,0,1,0,5.765,7,C,1,0.7,0,0.3,0,0,0,0,0,0,1,1
101,15,1,Minus,C,1,0,0,2.257,6,D,0,0.625,1,0.375,0,0,0,0,0,0,1,1
102,0,1,Minus,NA,0,0,0,NA,8,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1
102,1,1,Minus,C,1,0,0,2.872,4,NA,0,NA,0,NA,0,NA,0,0,0,0,1,1
102,2,1,Minus,C,1,0,0,3.718,7,C,1,0.5,0,0.5,0,0,0,0,0,0,1,1
102,3,1,Minus,C,1,0,0,2.434,7,C,1,0.25,0,0.75,0,0,0,0,0,0,1,1
102,4,1,Minus,C,1,0,0,3.129,7,C,1,0.5714285714285714,0,0.42857142857142855,0,0,0,0,0,0,1,1
